ID	Area	Title	Description
1	병원	하나산부인과	산부인과
2	병원	타워광명내과의원	내과/외과
3	병원	조정현신경외과의원	신경외과
4	병원	한귀원정신과의원	기타병원
5	약국/한약방	더블유스토어수지점	약국
6	수의업	행신동물병원	동물병원
7	약국/한약방	춘산한약방	한약방
8	약국/한약방	부부탕제원	탕제원
9	병원	코원성형외과	정형/성형외과
10	병원	헬로스마일소아과	소아과
11	약국/한약방	민생약국	약국
12	병원	킴스통증크리닉	기타병원
13	수의업	목포동물병원	동물병원
14	약국/한약방	제중당한약방	한약방
15	약국/한약방	종은한약방	한약방
16	약국/한약방	상명약국	약국
17	약국/한약방	햇살약국	약국
18	병원	연세비만크리닉연세유앤김정신과	기타병원
19	병원	에덴성형외과	정형/성형외과
20	병원	서울이비인후과	이비인후과의원
21	수의업	제일가축병원	동물병원
22	병원	다사랑요양병원	노인/치매병원
23	유사의료업	세종언어치료센터	언어치료
24	수의업	강남애견	수의업-종합
25	약국/한약방	화정하나로	약국
26	수의업	축협동물병원	동물병원
27	병원	삼선한의원	한의원
28	병원	연합내과월산점	내과/외과
29	병원	림스치과의원	치과의원
30	병원	현풍이치과의원	치과의원
31	수의업	금광종합동물병원	동물병원
32	병원	고운나라성형외과	정형/성형외과
33	수의업	통일동물병원	동물병원
34	약국/한약방	이즈타워약	약국
35	수의업	펫25시동물병원	동물병원
36	병원	마야정신병원	기타병원
37	병원	보궁한의원	한의원
38	약국/한약방	보원당한약방	한약방
39	병원	오혜숙산부인과	산부인과
40	병원	우리영상진단방사선과	기타병원
41	유사의료업	고려수지침학회	침구원
42	병원	이태형한의원	한의원
43	약국/한약방	감초약국	약국
44	병원	경주신경외과정형외과의원	신경외과
45	병원	아미가성형외과	정형/성형외과
46	병원	수미행치과	치과의원
47	병원	좋은의사들	기타병원
48	병원	백창희정형외과	정형/성형외과
49	병원	씨앤미치과	치과의원
50	병원	오리진	일반병원
51	병원	용상안동병원장례식장	기타병원
52	약국/한약방	진흥약국	약국
53	수의업	관산가축병원	동물병원
54	약국/한약방	천일약국	약국
55	병원	연수이안과	안과의원
56	약국/한약방	한재당건재한약방	한약방
57	병원	김정배이비인후과	이비인후과의원
58	병원	조정익한의원	한의원
59	약국/한약방	담양약국	약국
60	병원	다나한의원	한의원
61	병원	예스성형외과	정형/성형외과
62	병원	젠성형외과	정형/성형외과
63	병원	노경회	노인/치매병원
64	약국/한약방	광신당한약방	한약방
65	의료관련서비스업	백애정조산소	조산원
66	병원	예항외과	기타병원
67	병원	최기원내과	내과/외과
68	약국/한약방	보람찬약국	약국
69	병원	영제한의원	한의원
70	병원	일산카네이션너싱홈	노인/치매병원
71	약국/한약방	영보당한약방	한약방
72	약국/한약방	일로한약방	한약방
73	병원	은병원	기타병원
74	병원	서울치과	치과의원
75	약국/한약방	신영약국	약국
76	병원	김종국의원	내과/외과
77	수의업	남산동물병원	동물병원
78	약국/한약방	담양유명약국	약국
79	병원	대성의원	정형/성형외과
80	병원	은성복지회	노인/치매병원
81	병원	이현주소아과의원	소아과
82	병원	최란내과	내과/외과
83	약국/한약방	왕궁온천약국	약국
84	병원	예다움신경정신과	기타병원
85	병원	벧엘의원	기타병원
86	병원	청명한의원	한의원
87	약국/한약방	백약국	약국
88	약국/한약방	강남그랜드약국	약국
89	병원	하소아파트4단지관리사무실	소아과
90	병원	미소모아치과의원	치과의원
91	약국/한약방	중국약국	약국
92	병원	동의대학교한방병원	한방병원
93	병원	유승한의원	한의원
94	병원	강긍모통증의학과의원	기타병원
95	병원	새롬성형외과	정형/성형외과
96	병원	최시열한의원	한의원
97	병원	부산혜민요양병원	종합병원
98	유사의료업	청명원	유사의료업기타
99	병원	한민내과의원	내과/외과
100	약국/한약방	영도조은약국	약국
101	병원	연세가정의원	기타병원
102	병원	기둥병원	기타병원
103	유사의료업	응급환자이송센터	응급구조대
104	병원	민들레의원	기타병원
105	병원	선이고운성형외과	정형/성형외과
106	병원	삼성의원	내과/외과
107	병원	룡플란트치과수원점	치과의원
108	병원	하은실버홈	노인/치매병원
109	유사의료업	태화아동발달지원센터	언어치료
110	약국/한약방	서청주약국	약국
111	약국/한약방	희망약국	약국
112	병원	소망한의원	한의원
113	병원	박소아과	소아과
114	유사의료업	보생원	침구원
115	병원	소룡한의원	한의원
116	수의업	강릉가축병원	동물병원
117	약국/한약방	퇴계종합약국	약국
118	약국/한약방	해동약국	약국
119	약국/한약방	삼한당약국	약국
120	병원	KMG내과	내과/외과
121	약국/한약방	하나약국	약국
122	병원	이이비인후과	이비인후과의원
123	유사의료업	고려수지침요법학회	침구원
124	병원	김한규치과의원	치과의원
125	약국/한약방	구인당한약방	한약방
126	유사의료업	여수헌혈의집	혈액원
127	수의업	청양가축병원	동물병원
128	약국/한약방	경애약국	약국
129	병원	신세계소아과	소아과
130	병원	채영석한의원	한의원
131	약국/한약방	신세계약국	약국
132	병원	제일조은내과의원	내과/외과
133	병원	세련미의원	정형/성형외과
134	수의업	이수종합동물병원	동물병원
135	병원	한내과의원	내과/외과
136	병원	현대방사선과의원	기타병원
137	약국/한약방	메디팜한솔약국	약국
138	병원	평화당한의원	한의원
139	병원	배철환내과의원	내과/외과
140	병원	알콜정신전문병원	기타병원
141	병원	성치과의원	치과의원
142	약국/한약방	명약국	약국
143	약국/한약방	21세기신천지약국	약국
144	병원	정다운치과	치과의원
145	병원	경희한의원	한의원
146	병원	선치과	치과의원
147	약국/한약방	새한약국	한약방
148	병원	서울크리닉	정형/성형외과
149	병원	유항희이비인후과의원	이비인후과의원
150	약국/한약방	고려한약국	한약방
151	병원	미앤지치과의원	치과의원
152	병원	드림플란트드림화이트치과	치과의원
153	약국/한약방	한빛약국	약국
154	약국/한약방	구세약방	약국
155	병원	박성기소아청소년과의원	소아과
156	병원	이산부인과	산부인과
157	병원	장건성내과의원	내과/외과
158	약국/한약방	대영약국	약국
159	병원	행복찾기의원	내과/외과
160	병원	리더스서울외과내과	내과/외과
161	병원	대흥치과재료상사	치과의원
162	약국/한약방	메디팜약국	약국
163	병원	성모병원	종합병원
164	병원	한밭연세의원	기타병원
165	병원	김종서성형	정형/성형외과
166	수의업	중앙동물병원	동물병원
167	병원	이비인후과의원	이비인후과의원
168	수의업	안박동물병원	동물병원
169	병원	성모의원	기타병원
170	병원	알파통증의학과	기타병원
